date,min
2024-01-01,-36.0
2024-01-02,-36.2
2024-01-03,-31.0
2024-01-04,-29.0
2024-01-05,-24.0
2024-01-06,-29.9
2024-01-07,-29.9
2024-01-08,-16.1
2024-01-09,-36.0
2024-01-10,-43.6
2024-01-11,-45.9
2024-01-12,-45.9
2024-01-13,-48.1
2024-01-14,-45.0
2024-01-15,-44.0
2024-01-16,-35.0
2024-01-17,-23.1
2024-01-18,-25.1
2024-01-19,-30.6
2024-01-20,-34.1
2024-01-21,-41.1
2024-01-22,-50.1
2024-01-23,-50.1
2024-01-24,-52.6
2024-01-25,-54.0
2024-01-26,-56.9
2024-01-27,-56.9
2024-01-28,-58.0
2024-01-29,-56.9
2024-01-30,-52.1
2024-01-31,-54.0
